gene,WT-1_S1,WT-2_S2,WT-3_S3,WT-AC-1_S4,WT-AC-2_S5,WT-AC-3_S6
1700012J15Rik,2,0,0,0,0,0
1700013D24Rik,0,6,3,3,4,5
1700013G24Rik,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,1,0
1700013N06Rik,0,1,0,0,0,0
1700014L14Rik,1,0,1,0,0,0
1700015C15Rik,9,9,36,15.5,20.5,44
1700015I17Rik,0,0,0,2,3,2
1700016A09Rik,26,26,46.5,23.5,24.5,37
1700016B01Rik,1,0,1,0,1,0
1700016C19Rik,0,1,0,0,0,0
1700016G22Rik,0,1,1,0,13,2
1700016H13Rik,0,0,1,0,0,0
1700016J18Rik,0.5,0.5,0.5,1.5,1,0
1700016K05Rik,0,1,2,1,1.5,8.5
1700016L04Rik,12,13,6.5,19,18.25,14.75
1700016L21Rik,1.5,0,0,0.5,1,0.5
1700016P04Rik,1,0,0,0,0,0
1700017B05Rik,2431,2311,2898.5,6087,5135.33,8583
1700017G19Rik,23.5,27,51.5,27,29.5,37
1700017J07Rik,0,0,0,2,2,2
1700017L05Rik,0,0,0,0,0,0
1700017M07Rik,0,1,1,0,0,1
1700017N19Rik,0,0,0,1,1,1
1700018A04Rik,0,0,0,0,2,0
1700018A23Rik,651.5,550.5,552.5,419,422.5,501.5
1700018B08Rik,2,0,1,3,0,3
1700018B24Rik,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0
1700018L02Rik,233,197.5,250,242.5,175.5,239.5
1700019A02Rik,4.5,4,7,7,6.5,5.5
1700019C18Rik,0,0,0,0,0,0
1700019D03Rik,1,4,7,2,6,3
1700019E08Rik,0,0,0,1,0,0
1700019F05Rik,0,0,0,0,0,0
1700019G24Rik,0,0.5,0,0.5,0.5,0
1700019J19Rik,0,0,0,0,0,0
1700019M22Rik,0,0,0,0,0,0
1700019P21Rik,0,1,0,0,1,1
1700020A23Rik,1,0,0,0,3,7
1700020D12Rik,0,1,1,2,0,0
1700020D14Rik,0,0,0,0,0,0
1700020G03Rik,0,0,0,0,0,0
1700020G17Rik,1,1,1,3,1.5,0
1700020L13Rik,47,28,93,53.5,58,59
1700020L24Rik,543,521.5,449.5,316,178.5,279.5
1700020M21Rik,0,1,1,0,0,0
1700020N01Rik,0,2,4,1,2,1
1700020N15Rik,0,0,0,0,0,0
1700020N18Rik,0,1,0,0,0,1
1700021F02Rik,0,0,0,0,0,0
1700021G15Rik,0,0,0,0,0,0
1700021L23Rik,0,0,0,1,1,0
1700021N21Rik,0,0,0,1,0,0
1700022A21Rik,0,0,0,0,1,0
1700022A22Rik,0,0,1,0,1,0
1700022E09Rik,0,0,0,0,0,0
1700022H01Rik,2,0,2.5,2,3,4
1700022H16Rik,0,0,0,0,0,0
1700022N22Rik,165,148.5,152.5,86,95.5,157
1700023A20Rik,0,0,0,0,0,0
1700023C21Rik,0,0,1,0,0,0
1700023D09Rik,628.5,586.83,744.5,694,707.5,607.5
1700023F02Rik,1,0,0,0,1.5,0
1700023G09Rik,0,0,0,0,0,0
1700024B05Rik,0,1,0,0,0,0
1700024B18Rik,0,0,0,0,0,0
1700024G13Rik,0,0,0,1,1,0
1700024I08Rik,0,2,0,0,3,0
1700024J04Rik,0,0,0,0,0,0
1700024N05Rik,0,0,0,0,0,0
1700025B11Rik,1,0,0,0,0,0
1700025C18Rik,0,1,0,0,0,0
1700025D23Rik,0,0,0,0,0,0
1700025F24Rik,0,1,0,2.5,0,0
1700025G04Rik,1405.5,1668,1469,1269,1014,952
1700025H01Rik,0,0,0,0,0,0
1700025J12Rik,0,0,0,0,0,0
1700025K04Rik,0,0,0,0,0,0
1700025K24Rik,0,0,0,0,1,0
1700025M24Rik,3,2,1,1,0,1
1700025N21Rik,3.5,3,0.5,1,39,21
1700025N23Rik,15.5,6.5,18.5,18.83,17.5,20
1700025O08Rik,0,0,0,0,0,0
1700026D11Rik,0,0,1,1,2,1
1700026F02Rik,2,0,0,0.5,1,0
1700026J12Rik,2,1,0,0,0,1
1700026J14Rik,0,0,0,0,0,2
1700027F06Rik,0,1,1,0,0,0
1700027F09Rik,1,0,2.5,1.5,3.5,1
1700027H10Rik,0.5,0.5,0,0,0.5,0
1700027I24Rik,0,0,0,3,5,3
1700027J07Rik,29,33,24,8,19,13
1700028B04Rik,0,1,0,2,1,2
1700028D13Rik,0,0,0,0,0,0
1700028E10Rik,35,24.67,44.17,21.67,38.5,34
1700028I16Rik,4,2,2,1,4,1
1700028J19Rik,24,16,37,35,27,20.5
1700028K03Rik,40.5,33.5,50.5,33,24,29.5
1700028M03Rik,0,1,0,1,1,0
1700028P15Rik,0,1,0,0,0,0
1700029B22Rik,0,0,0,0,0,0
1700029F12Rik,0,0,0,0,0,0
1700029H14Rik,2.5,1,2,2.83,3,5.83
1700029J03Rik,2,1,0,4,0,2
1700029M03Rik,0,0,0,0,0,0
1700029M20Rik,0,0,0,0,0,0
1700029N11Rik,11,10,46,11,32.5,15.5
1700030A11Rik,1.5,1,1.5,0.5,0,0.5
1700030C10Rik,39,47,51,29,36,63
1700030C12Rik,117,81.5,116.5,128.5,149.5,108.5
1700030C14Rik,2,1,0,0,0,0
1700030F04Rik,59.5,97.5,38,84,24,382
1700030I03Rik,0.5,0,0,0,0.5,0
1700030J22Rik,179,130,200,182,66,113
1700030K09Rik,427,334.83,506.5,223,298,450
1700030L20Rik,0,0,0,0,0,0
1700030L22Rik,0,0,0,0.5,0.33,0
1700030M09Rik,0,1,0,1,1,3
1700030N03Rik,4,0,0,3,0,0
1700030O20Rik,0,0,0,0,0,0
1700031A10Rik,0,0,0,0,0,0
1700031F05Rik,0,0,0,1,0,0
1700031L13Rik,0,0,0,0,0,0
1700031M16Rik,1,1,2,0,1,0
1700031P21Rik,0,0,0,0,0,0
1700034B16Rik,0,0,0,0,0,0
1700034E13Rik,1,0,0,0,0,0
1700034G24Rik,1,0,1,0,0,0
1700034H15Rik,288,258.5,400.5,693.5,567,787.5
1700034J05Rik,0.5,0,0,0,0,0
1700034K08Rik,1,0,0,0,2,0
1700034P13Rik,352,305.5,423,352,413.5,400
1700036A12Rik,0,0,1,0,0,0
1700036G14Rik,0,1,1,0,1,0
1700037C18Rik,44,54.67,57.17,33.83,44.5,39.83
1700037F03Rik,5,3,2,5,22,18
1700039E22Rik,0,0,0,0.5,0,0
1700039I01Rik,0,0,0,0.5,0,0
1700039M10Rik,0,0,0.5,0,1,1
1700039O17Rik,0,0,0,0,0,0
1700040D17Rik,7,10,14,3,7,11
1700040F15Rik,0,0,0,0,0,0
1700040G22Rik,0,0,0,1,0,0
1700040K01Rik,0,0,0,1,0,0
1700040P09Rik,0,0,0,0,0,0
1700041A01Rik,1,0,0,2,1,1
1700041B01Rik,1.5,1,1.33,2.5,3,6
1700041C23Rik,0,0,0,2,0,0
1700041G16Rik,10.5,9.5,16.5,15,6.5,4.5
1700041I07Rik,1,1,3,0,6,2
1700041M19Rik,0,0,0,0,0,0
1700042G15Rik,0,0,0,2,0,0
1700042O10Rik,0.83,1,0,0,0,0.5
1700044C05Rik,1,0,0,0,1.5,1
1700044K03Rik,0,0,0,0,0,0
1700045H11Rik,2,1,0,4.5,21,3
1700046C09Rik,1,0,1,0,0,1
1700047A11Rik,71,58,82,96,124.5,128.5
1700047E10Rik,0,0,0,0,0,0
1700047F07Rik,0,0.5,0,0.5,1,0.5
1700047G03Rik,2,1,5,2,3,9
1700047L14Rik,0,0,0,0,0,0
1700047M11Rik,258,499,537,470,392,1330
1700048B10Rik,0,0,0,0,0,1
1700048F04Rik,2,0,0,0,0,2
1700048M11Rik,427.5,412.5,334.5,296.5,286.5,340.5
1700048O14Rik,1,0,0,0,0,0
1700048O20Rik,22,23,19,8,11,19
1700049E15Rik,0,0,0,0,0,0
1700049E17Rik1,0,0,0,0,0,0
1700049E17Rik2,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,0
1700049J03Rik,187,109,175.5,174.5,234,208.5
1700049L16Rik,0.5,0,0,0,0,0
1700051A21Rik,0,0,0,0,0,0
1700051K13Rik,336,322.83,527.67,480.5,732.67,508.17
1700052H01Rik,0,0,0,0,0,0
1700052I22Rik,0,0,0,0,0,0
1700052K11Rik,123.5,98.5,132,72.5,97.5,111.5
1700054A03Rik,0,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0
1700054M17Rik,0,0,0,0.33,0,0.33
1700054O19Rik,3,2,6,0,0,1
1700055C04Rik,0,0,0,0,0,0
1700055D16Rik,41,28,66.5,195,339,148
1700055D18Rik,9,16,18,10,10,8
1700055K11Rik,0,0,0,0,0,0
1700055L01Rik,0,0,0,0.5,0,0
1700056E22Rik,93,64,86,40,19,30
1700057H15Rik,3,0,1,2,1.5,1.5
1700057H21Rik,0,0,0,0,0,0
1700060C16Rik,0,0,0,0,4,0
1700060C20Rik,0,0,0,0,0,0
1700060J05Rik,127,133.5,166.5,134.5,184.5,165
1700061F12Rik,0,0,0,0,0,0
1700061I17Rik,0.5,0,0,1,0,0
1700061J23Rik,0,0,0,0,1.33,1
1700061N14Rik,1,1,0,1,0,0
1700062C10Rik,0,0,0,1,4,0
1700063A18Rik,0,0,0,1,1,0
1700063D05Rik,0,0,0.5,1,0,1
1700063H04Rik,0,0,0,0,0,0
1700063H06Rik,0,0,0,0,0,0
1700063K16Rik,3,6,0,4,1,1
1700063O14Rik,0,0,0,0,0,0
1700064F23Rik,0,0,0,0,0,0
1700064J06Rik,0,0,0,1,0,0
1700064M15Rik,0,0,0,0,0,0
1700065D16Rik,5.5,4,9.5,4.5,12,9
1700065I16Rik,0,0,0,0,0,0
1700065J11Rik,2,3,0,2,1,1
1700065J18Rik,0,0,0,0,0,0
1700065L07Rik,0,0,0,0,0,0
1700065O20Rik,1,0,0,2,0,0
1700066B17Rik,0,0,0,1,13,3
1700066C05Rik,0,0,0,0,0,0
1700066J03Rik,0,0,0,0,1,0
1700066M21Rik,442.5,393,620,232,313,345
1700066N21Rik,7,5,9.5,3,2,7
1700066O22Rik,0,0,0,0,1,1
1700067G17Rik,0,0,0,0,0,0
1700067K01Rik,31,28.5,53,29,48,48
1700067P10Rik,0,0,0,0,0,0
1700069L16Rik,1,0.5,0,2,2,0
1700069P05Rik,0,0,0,0,0,1
1700071G01Rik,0,0,0,0,0,0
1700071K01Rik,0,0,0,3,2.5,2.5
1700071M16Rik,1100,1095.5,1328.5,1412,1571.5,1855
1700072B07Rik,0,0,0,0,0,0
1700072F12Rik,0,0,0,0,0,0
1700072I22Rik,0,0,0,2,1.5,0
1700072O05Rik,0,2,1,0,2,0
1700073E17Rik,1.5,0.5,0.5,1.5,1.5,1.5
1700074H08Rik,0,0,0,0,0,0
1700080F18Rik,0,0,0,0,0.5,0
1700080G11Rik,0,0,0,0,0,1
1700080N15Rik,0,0,0,0,0.5,0
1700081B01Rik,0,1,0,1,2,0
1700081H04Rik,0,0,0,0,0,0
1700082M22Rik,5,2,7.5,5,9,11
1700083H02Rik,0,0,0,0,0,0
1700084D21Rik,0,0,1,1,1,0
1700084E18Rik,7,6,6,8,7,6
1700084F23Rik,3.5,1.5,3.5,6.5,5,3
1700084J12Rik,1,0,0.5,1,0.5,0
1700084M14Rik,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,1,0
1700086D15Rik,0,0,0,0,0,0
1700086L19Rik,0,0,0,0,0,1
1700086O06Rik,148,132.5,220,98,131,164
1700086P04Rik,20,9,28,15,15,21
1700087M22Rik,60.5,58,78.5,59,95,112.5
1700088E04Rik,320.5,255,329.5,267,410,332
1700091H14Rik,0,0,1,0,0,0
1700091J24Rik,1,1,1,1,1,1
1700092C02Rik,0,0,0,0,0,0
1700092C10Rik,0,0,0,0,0,0
1700092E19Rik,0,2,1,2,0,0
1700092K14Rik,0,0,0,0,0,0
1700093K21Rik,0,1,5,0,1,0
1700094J05Rik,323.83,305,313.5,252.5,280,342.5
1700094M23Rik,0,0,0,1,0,0
1700094M24Rik,0,0,0,0,0,0
1700095A13Rik,0,0,0,0,0,0
1700095A21Rik,1.5,1.5,2,2.5,1.5,2.5
1700095B10Rik,0,0.5,0,0,0.5,0
1700095J03Rik,1,0,0,1,0,0
1700095J07Rik,1,0,1,2,2,0
1700095J12Rik,1,0,0,1,0,0.33
1700095K22Rik,0,1,0,0,0,1
1700096J18Rik,6,2,3,2,15,7
1700096K18Rik,136,137,205,146,85,128
1700096P03Rik,0,0,0,0,0,0
1700097N02Rik,2,1,3,0,1,0
1700099I09Rik,3.33,6,4,8.33,8.83,10.33
1700100I10Rik,0,0,0,0,2,0
1700100L14Rik,0,0,0,1,0,0
1700101I11Rik,50.5,55.5,82,70.5,74.5,84
1700101O22Rik,0,0,0,1,0,0
1700102H20Rik,5,3,4.5,1,2,2.5
1700102J08Rik,0,0,0,0,0,1
1700102P08Rik,76,69.5,113,90.5,146,72.5
1700104B16Rik,47,30.5,39.5,58.5,58.5,54.5
1700104L18Rik,0,2.5,1,0,0,0
1700105F02Rik,0,1,1,1,1.5,1
1700105P06Rik,4.5,6,12,8.5,9,6.5
1700108F19Rik,1,0,0,1,1,0
1700108I11Rik,2,2,10,6,12,12
1700108J01Rik,0,0,0.33,0,0,0
1700108N06Rik,0,0,0,0,0,0
1700109G14Rik,1.5,1.5,0,0.5,0.25,0.5
1700109G15Rik,0,0,1,1,0,0
1700109H08Rik,143.5,150.5,216,172,597,416.5
1700109I08Rik,0,0,1,0,0,0
1700109K24Rik,18.5,15,10.5,10.5,16,25
1700110C19Rik,11,18,44,12,23,20
1700110I01Rik,0,0,0,0,0.5,0
1700110I07Rik,0,0,1,1,0,0
1700110K17Rik,58,45.5,86.5,64.5,97.5,136
1700111N16Rik,4,0,0,2,7,1
1700112D23Rik,0.5,1,3,1,1.5,3
1700112H15Rik,2,0,2,5,13,11
1700112J05Rik,13,10.5,16.83,14.83,20.83,14
1700112J16Rik,4,2,1,0,1,0
1700112M02Rik,1,2,1,1,3,0
1700112N08Rik,0,0,0,1,0,0
1700113A16Rik,320.5,326.5,403,359.5,292,395
1700113B09Rik,0,0,0,0,0,0
1700113H08Rik,2.5,5,3,1,4,1
1700116B05Rik,1,1,0,0,1,0
1700116H05Rik,0.33,0,0,0.5,1,0
1700119H24Rik,0,0,0,0,1.5,0
1700120B22Rik,419.5,400,498.5,319.5,228,337.5
1700120C14Rik,127.5,97,128.5,87.5,89,85
1700120E14Rik,0,0,0,0,0,0
1700120G07Rik,1,1,3,1.5,1,2
1700120K04Rik,20,10,21,25,24,25
1700121C08Rik,0,0,3,0,0,1
1700121C10Rik,0,0,3,2,1,1.5
1700121L16Rik,0,0,1,0,0,0
1700121M21Rik,0,0,0,0,0,0
1700121N20Rik,1,0,0,0,0,0
1700122C19Rik,1,0,0,0,0,0
1700122E12Rik,13.5,19.5,46.5,44,48.5,53
1700122H20Rik,0,0,0,1,2,0
1700122O11Rik,0,0,2,0,0,0
1700123J17Rik,0.5,0,0,4,4,1
1700123K08Rik,0,0,0,0,1,0
1700123M08Rik,42,35,68.5,23,36,35
1700123O12Rik,2,3,0,3,10,5.5
1700123O20Rik,2011.5,1513.5,2017.5,1625.5,1737,1432.5
1700123O21Rik,0,0,0.5,0,1,0
1700124L16Rik,0,2,6,1,0,1
1700124M09Rik,0,0,0,0,1,0
1700125G02Rik,0,0,0.5,0.5,0,0
1700125G22Rik,0,0,0,1,0,1
1700125H03Rik,0,0,0,0,0,0
1700126A01Rik,0,0,0,0,0,0
1700126G02Rik,12.5,25,27,4,13,16
1700126H18Rik,3.5,2,0.5,0.5,1.5,2
1700127F24Rik,0,0,4,1,3.5,5
1700128A07Rik,8,2,4,2,11,7
1700128E19Rik,0,0,0.5,2.5,2,0.5
1700128F08Rik,1,0,0,0,1,0
1700129C05Rik,1,0.5,0,0,0,0
1810006J02Rik,12,5,14,36,34,27
1810007C17Rik,0,0,0,0,0,0
1810007D17Rik,0,0,0,0,0,0
1810008I18Rik,0,0,0,1,0,0
1810009A15Rik,934.5,597,753,554,573,566.5
1810009J06Rik,0,0,0,0,0,0
1810010H24Rik,13,24,28,9,16.5,33
1810010K12Rik,1,0,0,0,1,0
1810012K16Rik,2,5,4,0,4,2
1810013A23Rik,0.5,0,0.5,0,2,5
1810013D15Rik,0,1,0,0,1.5,0
1810014B01Rik,105,98,135.5,96,73,108
1810018F18Rik,0,0,0,1,0,0
1810019D21Rik,4,4,15.5,3,6,7.5
1810019N24Rik,26,23,36,11,9.5,10
1810021B22Rik,64,70.5,53,40,23,61.5
1810021M19Rik,1,0,2,0,0.5,0
1810024B03Rik,78.5,91.5,120,80,95,102.5
1810030O07Rik,2968,2538,3210.5,2758,2524,2754
1810034E14Rik,416,432,349,153,120.5,240
1810035K13Rik,0,0,0,0,0,0
1810037I17Rik,2776,2016,2275,1846,1969,1522
1810041H14Rik,164.5,140,160,150.5,131.5,107
1810044D09Rik,44,54,68,31,26,27
1810049I09Rik,0,0,0,0,0,0
1810053B23Rik,0,0,0,0,2,0
1810055G02Rik,265.5,159,296.5,327,398.5,337.5
1810062G17Rik,9,4,17,20,19,12
1810062O18Rik,237.83,249.83,324.83,324,349,375.33
1810063I02Rik,0,0,0,0,0,0
1810064F22Rik,0,0,0,1,1,0
1810065E05Rik,0,0,0,0,0,1
1810073O08Rik,5.5,2,0,2,2,2
2010001A14Rik,138,119,181.5,90,172,150
2010001M07Rik,0,0,0,0,0,0
2010003K11Rik,0,0,0,0,0,0
2010004M13Rik,405,373.5,481,168.5,74.5,163.5
2010009K17Rik,918.67,719.5,896.5,785.5,697.5,815.5
2010010A06Rik,3,5,6,2,5,5.5
2010016I18Rik,138.5,102.5,303.5,95,258,288
2010103J01Rik,12.17,9.33,9.17,6.83,12,12.67
2010106C02Rik,0.5,0.5,0,0,0.5,0
2010106E10Rik,1,1,0,0,2,0
2010109A12Rik,5.5,4,7.5,9,18,4
2010109P13Rik,0,1,4,2,1,1
2010110K18Rik,30,29,40,14,23,31
2010203P06Rik,2.5,0,8,1,4,0
2010204K13Rik,38,23,15,25,25,26
2010308F09Rik,4,3.5,6,3,4,3
2010310C07Rik,2,3.5,4,2.5,21,9
2010315B03Rik,1002,893,1334,673,843.5,1001
2010320M18Rik,177,145,213,119,88,90
2010320O07Rik,7,12,6,13,13,17
2200002D01Rik,32.5,14.5,22.5,22,35,17.5
2200002J24Rik,10.5,8,23,12,10,3
2210011K15Rik,0,0,0,0,0,0
2210016L21Rik,1706.5,1353,1593,1186,1048,1254
2210039B01Rik,1,0,1,0,0.5,3
2210404E10Rik,0,0,0,0,0,0
2210406O10Rik,7,6,8,3,4,7
2210408F21Rik,95,98,123.5,113.5,186.33,262
2210408I21Rik,139,153,192.5,158,163,219
2210409D07Rik,0,0.5,0,0,0,0
2210409E12Rik,4,3,0,2,0,3
2210414B05Rik,3.5,5,2.5,11,10,6.5
2210416O15Rik,5.83,12.5,5.5,6,2,13
2210417A02Rik,36,31,23,26,18,15
2210418O10Rik,0.17,0.5,0,0,0,0
2210420H20Rik,0,0,0,0,0,0
2300002M23Rik,0,1,1,0,1,0
2300003K06Rik,0,0,0,0,0,0
2300009A05Rik,357,253,440,338,416,345
2310001H17Rik,220.5,234,333.5,234,717.5,438
2310001K24Rik,7.5,10.5,10,6.5,9.5,9
2310002D06Rik,0,0,0,0.5,2.5,0
2310002F09Rik,0,0,2,3,1,0
2310002L09Rik,0,0,0,0,0,0
2310003N18Rik,0,0,0,0,0,0
2310005A03Rik,0,0,0,0,1,0
2310005E17Rik,0,0,0,0,0.33,0
2310008N11Rik,20,18,24,32,40.5,23.5
2310009B15Rik,402,310,389,353,394,324
2310010J17Rik,67,56,55,97,163.5,129
2310011J03Rik,3759,2823.5,3751.33,2423,2416,2087
2310015A10Rik,575,520,856,491,767.33,682
2310015A16Rik,0,1,1,0,1,4
2310015D24Rik,0,0,0,0,0,0
2310015K22Rik,0.5,0.67,0,0.83,0,0
2310016D03Rik,2,1,0,0,2,1
2310016D23Rik,3.5,1,0,1.5,0,1
2310016G11Rik,0,0,0,0,0,0
2310020H05Rik,0.5,0.5,0.5,1,1.5,1
2310022A10Rik,4156.5,3142.5,4946.5,7320.5,7268,8236
2310022B05Rik,2972,2353,2937.5,1788,1953,1786
2310026I22Rik,0,0,0,1,0,0
2310030A07Rik,1,0,0,0,0,1
2310030G06Rik,0,0,0,0,0,1
2310033P09Rik,1503,1239,1341,1362,1376.5,1212.5
2310034C09Rik,0,0,0,0,0,0
2310034G01Rik,26,22,25,30,85,43
2310034O05Rik,0.5,1.5,1.83,0.5,4.5,0
2310039H08Rik,344,265,328,262,281,230
2310039L15Rik,2,1,1,4,4,0
2310040G24Rik,157.5,149,199,143,89,85
2310043L19Rik,1,0,3,15,31,7
2310043M15Rik,74.33,55,93.5,68.17,79.83,87.5
2310043O21Rik,0.5,2.33,0.75,2.75,4.5,2.75
2310047D07Rik,39.5,66,62.5,23.75,21,54.5
2310047K21Rik,43,35.5,50.5,30.5,26,28
2310057J18Rik,0,0,0,0,0,0
2310057M21Rik,428,307,387,440,694.5,840
2310057N15Rik,0,0,0,0,0,0
2310058D17Rik,134,158.33,315.5,107.67,189.17,181.33
2310058N22Rik,85.5,107.5,133.33,71,122.5,145
2310061I04Rik,948,775,1126.5,518,645.5,672.5
2310061N02Rik,0,0,0,0,0,0
2310065F04Rik,0,0,0,0,2,0
2310067E19Rik,0,0,0,0,0,0
2310068J16Rik,82.5,45,97.5,88.5,141,139
