gene,SRR18701208,SRR18701209,SRR18701210,SRR18701211,SRR18701212,SRR18701213,SRR18701214,SRR18701215,SRR18701216,SRR18701217,SRR18701218,SRR18701219
1300002E11Rik,180,247,208,239,98,162,114,201,121,255,148,372
1500002C15Rik,41,94,78,71,49,58,20,88,0,108,71,47
1500002F19Rik,45,60,45,29,38,35,49,36,41,35,36,36
1500004A13Rik,111,99,108,91,80,99,61,130,61,77,146,62
1500009L16Rik,0,1,2,0,0,0,0,0,0,0,0,0
1500011B03Rik,1174,915,1286,769,631,594,767,747,698,793,752,1114
1500012K07Rik,0,0,0,0,0,0,12,0,0,0,0,0
1500015A07Rik,220,301,299,168,116,211,139,291,223,203,142,229
1500015L24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1500026H17Rik,10,23,13,9,13,13,10,15,14,27,12,29
1500035N22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600002D24Rik,10,7,1,1,3,0,0,0,0,6,1,18
1600010M07Rik,325,283,486,206,406,318,431,322,561,292,398,478
1600012H06Rik,5133,4097,5389,2931,2225,2759,2279,2921,2550,2607,2995,1660
1600012P17Rik,1,0,0,0,0,0,0,0,0,0,0,0
1600014C10Rik,1175,1415,1381,1452,1358,951,1290,1023,898,1375,1676,1387
1600014C23Rik,3,3,1,5,0,0,0,3,0,1,0,14
1600015H23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600019K03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600020E01Rik,808,563,702,367,296,333,154,443,243,337,163,431
1600023N17Rik,9,10,13,18,6,22,5,25,6,1,10,3
1600025M17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600027J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600029I14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600029O15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001D01Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700001F09Rik,0,0,0,1,0,0,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,1,0,0,0,0,0,0
1700001G11Rik,4,10,4,14,1,16,8,20,1,18,6,55
1700001G17Rik,2,14,5,1,8,1,4,12,0,5,6,16
1700001J03Rik,7,31,9,24,2,17,10,24,55,26,18,4
1700001J04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001J11Rik,0,0,0,1,0,0,0,1,0,1,0,0
1700001K19Rik,0,0,2,9,0,0,0,1,0,2,0,0
1700001K23Rik,2,2,7,0,0,4,6,0,0,0,0,1
1700001L05Rik,194,190,260,106,51,115,51,122,73,64,109,41
1700001O22Rik,0,0,5,0,0,0,7,0,0,2,0,3
1700003C15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003D09Rik,0,3,1,2,0,7,0,0,0,14,0,1
1700003E16Rik,13,16,24,2,21,15,40,21,9,11,32,19
1700003E24Rik,2,0,0,0,0,0,0,0,0,0,0,0
1700003F12Rik,155,260,173,189,127,193,124,158,92,365,107,625
1700003G18Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700003H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003M07Rik,2,2,1,3,1,0,0,5,0,2,3,0
1700003P14Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,1,0,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,0,0,0,0,3
1700006H20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,1,0,0,0,6,0,1
1700006J14Rik,13,54,22,2,13,24,28,23,46,71,25,24
1700007E05Rik,1,1,1,0,0,1,0,2,0,0,0,0
1700007F19Rik,0,0,0,2,0,4,6,0,0,0,0,0
1700007J10Rik,2,12,2,6,3,1,0,0,0,0,3,2
1700007L15Rik,56,69,51,53,31,71,50,64,65,49,75,87
1700007P06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008C04Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700008J07Rik,138,205,191,190,53,102,80,144,76,177,97,147
1700008K24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008O03Rik,6,30,16,12,5,15,5,26,42,29,5,34
1700008P02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009N14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010B08Rik,2,0,0,1,0,0,0,0,0,2,0,0
1700010D01Rik,0,0,0,5,0,0,0,0,0,1,0,0
1700010G06Rik,6,6,8,3,0,2,0,2,0,8,1,1
1700010H22Rik,1,0,2,0,0,0,0,0,0,0,0,0
1700010I02Rik,0,0,0,0,3,0,0,0,0,0,0,0
1700010I14Rik,296,393,283,318,241,303,143,359,264,206,302,215
1700010J16Rik,0,1,2,0,0,0,7,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010L04Rik,1,3,1,2,0,1,0,9,0,4,3,0
1700010N08Rik,2,0,0,1,0,1,0,0,0,0,0,0
1700011B04Rik,1,0,1,1,0,0,0,0,0,0,0,0
1700011C11Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700011L22Rik,4,0,0,0,1,1,0,2,0,8,0,0
1700012A03Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012B09Rik,21,0,6,4,0,2,0,4,0,0,0,4
1700012C14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012D01Rik,25,26,28,24,45,19,33,32,26,20,33,52
1700012D16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012H19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0,10,0,0,0,0,0
1700012J15Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,2,5,0,0,0,14,2,5
1700013G24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,2,0,0,0,0,0,1
1700013N06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700014L14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700015C15Rik,2,1,4,0,0,2,0,0,0,0,1,0
1700015I17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016A09Rik,14,14,36,10,0,6,10,10,2,11,24,6
1700016B01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016C19Rik,0,1,1,0,0,0,0,0,0,0,0,0
1700016G22Rik,3,4,1,24,5,6,0,0,0,3,7,0
1700016H13Rik,0,3,0,5,0,2,0,1,0,8,7,9
1700016J18Rik,0,3,1,3,5,9,0,2,0,6,3,14
1700016K05Rik,2,0,0,0,0,0,0,0,0,0,0,0
1700016L04Rik,1,0,2,0,0,0,16,5,0,0,0,0
1700016L21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016P04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017B05Rik,4716,2940,6946,1903,3115,1307,1875,1673,3515,1033,3101,1572
1700017G19Rik,0,0,1,0,0,0,0,0,0,0,0,2
1700017J07Rik,1,2,0,1,2,0,0,0,0,0,0,0
1700017L05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017M07Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700017N19Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,1,0,0,0,0,0,0,0,0
1700018A23Rik,2,0,4,0,0,1,0,0,0,4,10,3
1700018B08Rik,1,0,2,0,0,0,0,0,0,0,2,0
1700018B24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,1,0,0,0,0,0,0
1700018L02Rik,9,43,21,34,5,10,39,16,0,58,40,56
1700019A02Rik,4,0,0,11,0,1,0,2,0,0,1,0
1700019C18Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700019D03Rik,1,23,8,8,7,11,12,6,0,8,8,8
1700019E08Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700019F05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019G24Rik,0,0,0,6,0,0,0,0,0,0,0,0
1700019J19Rik,0,0,1,0,0,1,7,0,0,0,0,3
1700019M22Rik,0,0,0,1,0,0,0,0,0,0,0,0
1700019P21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020D12Rik,0,0,0,1,0,0,0,0,0,0,0,0
1700020D14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020G03Rik,1,1,5,0,0,1,0,2,0,1,0,0
1700020G17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020L13Rik,30,23,27,13,10,25,8,19,52,20,15,2
1700020L24Rik,7,12,10,10,10,13,7,9,0,18,11,25
1700020M21Rik,0,0,2,0,0,0,0,0,0,0,1,0
1700020N01Rik,0,0,1,0,0,0,0,0,0,0,0,3
1700020N15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020N18Rik,0,0,1,0,0,2,0,0,0,0,0,0
1700021F02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021G15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021L23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021N21Rik,0,6,0,0,0,2,0,1,17,9,0,5
1700022A21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022A22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022E09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022H01Rik,0,0,0,0,0,0,0,0,0,2,0,0
1700022H16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022N22Rik,45,63,51,69,47,49,38,74,48,48,59,70
1700023A20Rik,0,0,0,0,0,0,0,0,0,0,0,1
1700023C21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700023D09Rik,44,38,47,36,22,35,22,62,44,19,23,35
1700023F02Rik,2,2,0,0,0,3,0,0,0,2,0,0
1700023G09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024B05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024B18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024G13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024I08Rik,2,0,1,0,0,0,3,0,0,0,0,0
1700024J04Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700024N05Rik,2,0,0,0,0,0,0,0,0,0,0,0
1700025B11Rik,0,0,0,0,0,0,5,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025D23Rik,0,0,0,0,0,0,2,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025G04Rik,3370,3045,4688,1918,2107,1965,2198,2146,1574,1314,2680,1764
1700025H01Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700025J12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025K04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025K24Rik,0,0,0,1,0,0,0,0,0,0,0,0
1700025M24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025N21Rik,0,0,1,4,1,0,0,0,0,0,0,5
1700025N23Rik,11,14,0,16,0,11,0,7,0,3,3,19
1700025O08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026D11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026F02Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700026J12Rik,1,0,0,0,0,0,0,0,0,0,2,0
1700026J14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027F06Rik,0,0,0,0,0,0,0,3,0,0,0,0
1700027F09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027H10Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700027I24Rik,0,0,0,1,0,0,0,0,0,2,0,0
1700027J07Rik,0,2,0,0,0,0,0,0,0,0,0,0
1700028B04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700028D13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700028E10Rik,18,25,13,13,19,25,0,28,0,32,14,19
1700028I16Rik,6,10,3,0,0,10,0,7,5,3,7,9
1700028J19Rik,68,58,78,43,40,66,62,45,25,57,54,62
1700028K03Rik,4,1,0,6,2,8,10,6,0,3,0,3
1700028M03Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700028P15Rik,0,2,0,0,0,0,0,0,0,0,0,0
1700029B22Rik,0,0,0,0,0,1,0,0,0,0,0,0
1700029F12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029H14Rik,18,13,27,17,10,13,22,19,0,1,4,22
1700029J03Rik,0,2,0,0,0,0,0,0,0,0,0,2
1700029M03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029M20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029N11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030A11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030C10Rik,13,11,37,6,2,1,0,11,27,7,15,31
1700030C12Rik,1,2,8,9,0,5,0,7,0,0,1,0
1700030C14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030I03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030J22Rik,378,183,453,63,155,77,116,102,406,123,248,83
1700030K09Rik,604,787,642,553,471,579,334,695,424,573,528,380
1700030L20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030L22Rik,1,0,0,0,3,0,16,0,0,0,0,2
1700030M09Rik,3,0,0,10,0,0,0,0,0,0,0,0
1700030N03Rik,0,0,1,0,0,0,2,0,0,0,0,0
1700030O20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031A10Rik,0,0,0,0,0,2,0,0,0,0,0,2
1700031F05Rik,0,0,0,0,0,4,0,0,0,0,0,0
1700031L13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0,0,0,0,0,0,1
1700031P21Rik,0,7,0,2,0,0,0,0,0,0,0,0
1700034B16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034G24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034H15Rik,21,47,11,32,10,37,9,40,3,14,19,11
1700034J05Rik,2,0,3,1,0,0,0,0,0,0,0,0
1700034K08Rik,0,0,1,0,0,0,0,0,0,0,1,0
1700034P13Rik,14,19,26,21,17,11,9,14,49,22,11,20
1700036A12Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700036G14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700037C18Rik,57,45,51,51,42,56,74,65,57,82,34,156
1700037F03Rik,2,1,4,1,1,0,0,1,0,0,2,0
1700039E22Rik,0,0,0,1,0,0,0,0,0,0,0,0
1700039I01Rik,0,0,2,1,0,0,0,0,0,0,0,0
1700039M10Rik,0,6,0,0,0,0,0,0,0,0,0,1
1700039O17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700040D17Rik,6,10,5,8,2,19,0,8,0,12,5,8
1700040F15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700040G22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700040K01Rik,1,0,2,2,0,0,0,0,0,0,0,0
1700040P09Rik,0,0,0,2,2,0,0,0,0,0,0,0
1700041A01Rik,0,0,1,0,0,0,0,2,0,0,0,4
1700041B01Rik,0,0,2,0,0,0,0,0,0,0,0,0
1700041C23Rik,0,0,4,0,0,0,0,0,0,0,0,0
1700041G16Rik,23,26,22,14,51,22,0,46,0,20,18,28
1700041I07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700042G15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700042O10Rik,0,1,0,1,0,5,0,2,0,0,3,4
1700044C05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700044K03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700045H11Rik,0,0,0,0,0,0,0,0,0,0,3,0
1700046C09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047A11Rik,2,0,1,0,0,5,0,1,0,0,0,0
1700047E10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047F07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047G03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047L14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047M11Rik,2,0,0,0,2,0,16,0,0,1,0,0
1700048B10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700048F04Rik,0,0,0,0,0,2,0,0,0,0,0,0
1700048M11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700048O14Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700048O20Rik,1,5,0,7,0,1,0,11,0,4,14,7
1700049E15Rik,2,0,0,0,0,0,0,0,0,0,0,0
1700049E17Rik1,0,0,0,0,0,0,0,0,0,0,0,0
1700049E17Rik2,0,0,0,0,0,0,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,3,0,0,0,0,0,0
1700049J03Rik,1,1,1,1,0,0,0,0,0,2,0,0
1700049L16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700051A21Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700051K13Rik,0,0,3,0,0,0,0,0,0,0,0,5
1700052H01Rik,0,0,0,1,0,0,0,0,0,1,0,0
1700052I22Rik,0,1,0,0,0,0,0,0,0,0,1,0
1700052K11Rik,170,169,163,120,103,118,59,172,99,147,170,245
1700054A03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700054M17Rik,0,3,1,7,0,2,0,4,0,5,0,6
1700054O19Rik,1,2,8,2,5,4,15,7,0,0,2,4
1700055C04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700055D16Rik,17,4,10,0,0,4,16,2,0,0,8,5
1700055D18Rik,49,73,53,48,13,25,19,50,23,56,37,46
1700055K11Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700055L01Rik,0,0,0,0,0,0,5,0,0,0,0,0
1700056E22Rik,12,40,41,22,13,34,0,26,9,26,44,88
1700057H15Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700057H21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700060C16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700060C20Rik,0,2,0,0,0,1,0,1,0,0,0,0
1700060J05Rik,0,3,0,0,5,3,0,2,2,2,5,5
1700061F12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700061I17Rik,0,1,0,1,0,0,0,0,0,0,0,0
1700061J23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700061N14Rik,0,0,0,0,0,0,0,5,0,0,0,0
1700062C10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063D05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063H04Rik,0,0,3,0,0,2,0,0,0,0,0,0
1700063H06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063K16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063O14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700064F23Rik,1,0,1,0,0,0,0,0,0,0,0,0
1700064J06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700064M15Rik,0,0,0,0,0,0,0,0,0,2,0,0
1700065D16Rik,4,0,0,1,2,1,17,3,0,2,7,1
1700065I16Rik,0,0,0,0,0,2,0,0,0,0,0,0
1700065J11Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700065J18Rik,0,0,2,3,0,0,0,0,0,0,0,0
1700065L07Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700065O20Rik,0,0,2,0,0,0,5,0,0,0,0,0
1700066B17Rik,0,2,4,0,0,0,0,0,0,0,0,0
1700066C05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066J03Rik,0,0,2,0,0,0,0,0,0,1,0,0
1700066M21Rik,1126,1104,1165,880,597,965,596,900,953,654,898,558
1700066N21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066O22Rik,0,0,0,0,0,0,0,0,0,0,1,0
1700067G17Rik,0,0,0,0,0,0,0,0,0,2,0,0
1700067K01Rik,37,18,32,22,20,14,7,15,0,11,7,1
1700067P10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700069L16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700069P05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700071G01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700071K01Rik,5,0,0,0,0,0,0,0,0,0,0,0
1700071M16Rik,2,0,1,2,0,0,0,0,0,0,0,0
1700072B07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700072F12Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700072I22Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700072O05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700073E17Rik,1,0,1,0,0,0,0,0,0,0,0,0
1700074H08Rik,0,0,0,0,0,1,0,0,0,0,0,0
1700080F18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700080G11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700080N15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700081B01Rik,2,0,0,0,0,0,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700082M22Rik,1,2,0,2,2,3,0,1,0,4,0,6
1700083H02Rik,0,0,4,0,0,0,0,0,0,0,0,0
1700084D21Rik,0,0,0,0,0,3,0,0,0,0,0,0
1700084E18Rik,12,12,24,8,14,6,4,12,0,5,4,23
1700084F23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700084J12Rik,0,1,2,2,4,1,2,1,0,1,6,0
1700084M14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700086D15Rik,1,0,1,0,0,0,0,0,0,2,0,0
1700086L19Rik,1,0,0,0,0,0,0,0,13,0,0,0
1700086O06Rik,106,170,171,93,68,131,89,145,107,67,81,92
1700086P04Rik,18,22,21,26,16,17,24,22,17,33,20,22
1700087M22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700088E04Rik,108,87,136,39,67,72,44,66,67,66,90,43
1700091H14Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700091J24Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700092C02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092C10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092E19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092K14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700093K21Rik,17,24,8,22,6,6,0,13,30,17,18,12
1700094J05Rik,6,7,4,7,0,6,0,3,20,0,4,4
1700094M23Rik,0,0,1,0,0,0,8,0,0,0,2,0
1700094M24Rik,0,0,0,0,3,1,0,0,0,0,0,0
1700095A13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700095A21Rik,2,0,5,0,0,2,0,0,0,2,0,0
1700095B10Rik,0,0,2,0,0,0,0,0,0,0,0,0
1700095J03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700095J07Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700095J12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700095K22Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700096J18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700096K18Rik,119,219,171,118,68,129,92,154,176,242,125,309
1700096P03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700097N02Rik,13,18,8,7,15,15,5,14,0,13,28,14
1700099I09Rik,9,190,30,179,20,208,25,182,8,73,35,93
1700100I10Rik,1,4,0,1,0,2,0,0,0,0,0,0
1700100L14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700101I11Rik,7,6,20,11,3,7,18,11,0,9,15,42
1700101O22Rik,2,0,0,0,0,0,0,0,0,0,0,0
1700102H20Rik,21,28,23,32,12,12,8,27,36,4,4,29
1700102J08Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700102P08Rik,207,66,157,24,38,34,43,27,81,26,15,22
1700104B16Rik,3,1,2,2,0,0,0,1,0,0,1,0
1700104L18Rik,0,0,0,0,0,0,0,0,0,0,0,0
